
央视频道,#genre#
CCTV16FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225956/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV16FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226373/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV17FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225766/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV17FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226371/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CETV1FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225776/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CETV2HD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225881/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV14FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225901/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV17FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225910/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV16FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225937/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CETV1FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226411/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CETV4FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226414/index.m3u8?servicetype=3&IASHttpSessionId=OTT

卫视频道,#genre#
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225953/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225976/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225984/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225986/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225987/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225938/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225941/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225894/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225944/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广西卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226052/index.m3u8?servicetype=3&IASHttpSessionId=OTT
上海卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225942/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广东卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225666/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广东卫视FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225913/index.m3u8?servicetype=3&IASHttpSessionId=OTT
广东珠江FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8?servicetype=3&IASHttpSessionId=OTT
